Date,Value
2/17/2010,1119
2/18/2010,1118
2/19/2010,1112.75
2/22/2010,1115.25
2/23/2010,1107
2/24/2010,1103
2/25/2010,1094.5
2/26/2010,1108.25
3/1/2010,1114
3/2/2010,1126.5
3/3/2010,1136.5
3/4/2010,1134.5
3/5/2010,1135
3/8/2010,1125.75
3/9/2010,1115.75
3/10/2010,1120.5
3/11/2010,1104
3/12/2010,1106.25
3/15/2010,1104.25
3/16/2010,1124.75
3/17/2010,1121.75
3/18/2010,1122.75
3/19/2010,1105.5
3/22/2010,1097.25
3/23/2010,1101.5
3/24/2010,1090.75
3/25/2010,1093
3/26/2010,1096.5
3/29/2010,1107.5
3/30/2010,1107
3/31/2010,1115.5
4/1/2010,1123.5
4/2/2010,1123.5
4/5/2010,1123.5
4/6/2010,1132.75
4/7/2010,1142
4/8/2010,1148
4/9/2010,1152.5
4/12/2010,1158.75
4/13/2010,1148.25
4/14/2010,1153.75
4/15/2010,1154.5
4/16/2010,1151.5
4/19/2010,1136.25
4/20/2010,1144.75
4/21/2010,1143
4/22/2010,1133.75
4/23/2010,1139.5
4/26/2010,1154.5
4/27/2010,1149.5
4/28/2010,1161
4/29/2010,1166.75
4/30/2010,1179.25
5/3/2010,1179.25
5/4/2010,1185
5/5/2010,1165
5/6/2010,1185.25
5/7/2010,1202.25
5/10/2010,1196.5
5/11/2010,1222.5
5/12/2010,1237.5
5/13/2010,1237.5
5/14/2010,1236.5
5/17/2010,1236
5/18/2010,1216.75
5/19/2010,1195
5/20/2010,1192
5/21/2010,1179.75
5/24/2010,1187
5/25/2010,1198.25
5/26/2010,1212
5/27/2010,1211
5/28/2010,1207.5
5/31/2010,1207.5
6/1/2010,1227.75
6/2/2010,1215
6/3/2010,1215
6/4/2010,1203.5
6/7/2010,1215
6/8/2010,1246
6/9/2010,1233.5
6/10/2010,1217.5
6/11/2010,1220
6/14/2010,1223.75
6/15/2010,1225
6/16/2010,1234.5
6/17/2010,1245
6/18/2010,1256
6/21/2010,1254.5
6/22/2010,1236
6/23/2010,1226.5
6/24/2010,1236.25
6/25/2010,1254
6/28/2010,1261
6/29/2010,1234.5
6/30/2010,1244
7/1/2010,1234
7/2/2010,1201.5
7/5/2010,1208
7/6/2010,1195
7/7/2010,1193.25
7/8/2010,1193.5
7/9/2010,1208.75
7/12/2010,1205.5
7/13/2010,1216
7/14/2010,1207
7/15/2010,1208
7/16/2010,1189.25
7/19/2010,1181
7/20/2010,1183
7/21/2010,1191.5
7/22/2010,1199.5
7/23/2010,1190.5
7/26/2010,1183.5
7/27/2010,1168
7/28/2010,1157
7/29/2010,1162.5
7/30/2010,1169
8/2/2010,1188.5
8/3/2010,1187.5
8/4/2010,1199.5
8/5/2010,1192.5
8/6/2010,1207.75
8/9/2010,1203
8/10/2010,1192.5
8/11/2010,1205.5
8/12/2010,1213
8/13/2010,1214.25
8/16/2010,1223.5
8/17/2010,1226
8/18/2010,1218
8/19/2010,1233.5
8/20/2010,1223.5
8/23/2010,1226
8/24/2010,1222
8/25/2010,1237.5
8/26/2010,1237
8/27/2010,1235
8/30/2010,1235
8/31/2010,1246
9/1/2010,1246.5
9/2/2010,1248.5
9/3/2010,1240.5
9/6/2010,1249
9/7/2010,1256.75
9/8/2010,1255
9/9/2010,1255
9/10/2010,1246.5
9/13/2010,1243.75
9/14/2010,1265.5
9/15/2010,1267
9/16/2010,1272.5
9/17/2010,1274
9/20/2010,1279.25
9/21/2010,1275
9/22/2010,1293.5
9/23/2010,1290.75
9/24/2010,1297
9/27/2010,1297
9/28/2010,1294
9/29/2010,1307.5
9/30/2010,1307
10/1/2010,1316.25
10/4/2010,1313.5
10/5/2010,1330.5
10/6/2010,1346.5
10/7/2010,1345
10/8/2010,1341.5
10/11/2010,1351.5
10/12/2010,1348.5
10/13/2010,1365.5
10/14/2010,1373.25
10/15/2010,1367.5
10/18/2010,1367.25
10/19/2010,1339
10/20/2010,1339
10/21/2010,1343.5
10/22/2010,1322.5
10/25/2010,1337.5
10/26/2010,1329.5
10/27/2010,1324.5
10/28/2010,1333.5
10/29/2010,1346.75
11/1/2010,1354.5
11/2/2010,1351
11/3/2010,1345.5
11/4/2010,1381
11/5/2010,1395.5
11/8/2010,1388.5
11/9/2010,1421
11/10/2010,1390.5
11/11/2010,1398.5
11/12/2010,1388.5
11/15/2010,1368.5
11/16/2010,1349
11/17/2010,1337.5
11/18/2010,1350.25
11/19/2010,1342.5
11/22/2010,1356.5
11/23/2010,1377.5
11/24/2010,1372.5
11/25/2010,1373.25
11/26/2010,1355
11/29/2010,1357
11/30/2010,1383.5
12/1/2010,1385.5
12/2/2010,1389
12/3/2010,1403.5
12/6/2010,1415.25
12/7/2010,1420
12/8/2010,1385.5
12/9/2010,1391.25
12/10/2010,1375.25
12/13/2010,1399
12/14/2010,1394.5
12/15/2010,1388.75
12/16/2010,1363
12/17/2010,1368.5
12/20/2010,1380
12/21/2010,1383
12/22/2010,1387
12/23/2010,1373.5
12/24/2010,1373.5
12/27/2010,1373.5
12/28/2010,1373.5
12/29/2010,1412.5
12/30/2010,1405.5
12/31/2010,1405.5
1/3/2011,1405.5
1/4/2011,1388.5
1/5/2011,1368
1/6/2011,1368.5
1/7/2011,1367
1/10/2011,1368.25
1/11/2011,1374
1/12/2011,1378.75
1/13/2011,1381.5
1/14/2011,1367
1/17/2011,1360.5
1/18/2011,1369.5
1/19/2011,1372
1/20/2011,1345.5
1/21/2011,1343.5
1/24/2011,1343
1/25/2011,1324
1/26/2011,1328
1/27/2011,1334.5
1/28/2011,1319
1/31/2011,1327
2/1/2011,1331.5
2/2/2011,1337
2/3/2011,1328
2/4/2011,1355
2/7/2011,1347.5
2/8/2011,1363.5
2/9/2011,1365
2/10/2011,1353.25
2/11/2011,1364
2/14/2011,1365
2/15/2011,1372.75
2/16/2011,1371.25
2/17/2011,1379
2/18/2011,1383.5
2/21/2011,1403
2/22/2011,1401
2/23/2011,1409.25
2/24/2011,1411.5
2/25/2011,1402.5
2/28/2011,1411
3/1/2011,1420.75
3/2/2011,1435.5
3/3/2011,1421.5
3/4/2011,1427
3/7/2011,1437.5
3/8/2011,1426.25
3/9/2011,1431
3/10/2011,1413.25
3/11/2011,1411.5
3/14/2011,1422.25
3/15/2011,1400.5
3/16/2011,1402
3/17/2011,1403.75
3/18/2011,1420
3/21/2011,1432
3/22/2011,1426
3/23/2011,1439.5
3/24/2011,1447
3/25/2011,1436
3/28/2011,1417
3/29/2011,1417.5
3/30/2011,1425.5
3/31/2011,1439
4/1/2011,1418
4/4/2011,1435.5
4/5/2011,1433.5
4/6/2011,1461.5
4/7/2011,1459.5
4/8/2011,1469.5
4/11/2011,1468
4/12/2011,1450.5
4/13/2011,1457.5
4/14/2011,1465.75
4/15/2011,1476.75
4/18/2011,1493
4/19/2011,1490.5
4/20/2011,1501
4/21/2011,1504
4/22/2011,1504
4/25/2011,1504
4/26/2011,1497.5
4/27/2011,1511
4/28/2011,1535.5
4/29/2011,1535.5
5/2/2011,1535.5
5/3/2011,1540.25
5/4/2011,1541
5/5/2011,1511
5/6/2011,1486.5
5/9/2011,1502
5/10/2011,1513.5
5/11/2011,1508
5/12/2011,1489.5
5/13/2011,1505.75
5/16/2011,1500.75
5/17/2011,1478.5
5/18/2011,1496.5
5/19/2011,1493
5/20/2011,1490.75
5/23/2011,1510.5
5/24/2011,1527
5/25/2011,1526.25
5/26/2011,1518.5
5/27/2011,1533
5/30/2011,1533
5/31/2011,1536.5
6/1/2011,1533.75
6/2/2011,1539.5
6/3/2011,1540
6/6/2011,1549
6/7/2011,1545
6/8/2011,1537.75
6/9/2011,1537.75
6/10/2011,1529.25
6/13/2011,1526.25
6/14/2011,1516
6/15/2011,1529.75
6/16/2011,1523.25
6/17/2011,1537.5
6/20/2011,1544
6/21/2011,1544.75
6/22/2011,1552.5
6/23/2011,1523
6/24/2011,1514.75
6/27/2011,1498
6/28/2011,1499
6/29/2011,1504.25
6/30/2011,1505.5
7/1/2011,1483
7/4/2011,1495
7/5/2011,1510
7/6/2011,1527.25
7/7/2011,1527.5
7/8/2011,1541.5
7/11/2011,1555.5
7/12/2011,1550.5
7/13/2011,1579
7/14/2011,1590.5
7/15/2011,1587
7/18/2011,1599
7/19/2011,1601
7/20/2011,1586
7/21/2011,1601
7/22/2011,1602
7/25/2011,1613.5
7/26/2011,1612.75
7/27/2011,1625
7/28/2011,1613.5
7/29/2011,1628.5
8/1/2011,1623
8/2/2011,1637.75
8/3/2011,1669.25
8/4/2011,1679.5
8/5/2011,1658.75
8/8/2011,1693
8/9/2011,1736
8/10/2011,1772
8/11/2011,1760
8/12/2011,1736
8/15/2011,1739
8/16/2011,1782.5
8/17/2011,1790
8/18/2011,1824
8/19/2011,1848
8/22/2011,1877.5
8/23/2011,1876
8/24/2011,1770
8/25/2011,1729
8/26/2011,1788
8/29/2011,1788
8/30/2011,1825
8/31/2011,1813.5
9/1/2011,1821
9/2/2011,1875.25
9/5/2011,1895
9/6/2011,1895
9/7/2011,1810
9/8/2011,1855
9/9/2011,1851
9/12/2011,1834
9/13/2011,1820
9/14/2011,1818.5
9/15/2011,1782
9/16/2011,1794
9/19/2011,1794
9/20/2011,1799
9/21/2011,1793
9/22/2011,1722
9/23/2011,1689
9/26/2011,1598
9/27/2011,1659
9/28/2011,1643
9/29/2011,1613
9/30/2011,1620
10/3/2011,1655.5
10/4/2011,1638
10/5/2011,1617
10/6/2011,1635
10/7/2011,1652
10/10/2011,1661
10/11/2011,1663
10/12/2011,1682
10/13/2011,1656
10/14/2011,1678
10/17/2011,1682
10/18/2011,1631
10/19/2011,1652.5
10/20/2011,1620
10/21/2011,1642.5
10/24/2011,1652
10/25/2011,1656
10/26/2011,1715
10/27/2011,1718
10/28/2011,1741
10/31/2011,1722
11/1/2011,1699
11/2/2011,1743
11/3/2011,1758
11/4/2011,1749
11/7/2011,1782
11/8/2011,1795
11/9/2011,1784
11/10/2011,1756
11/11/2011,1773
11/14/2011,1776
11/15/2011,1785
11/16/2011,1756
11/17/2011,1742.5
11/18/2011,1719
11/21/2011,1702
11/22/2011,1699
11/23/2011,1681
11/24/2011,1692.5
11/25/2011,1688.5
11/28/2011,1714
11/29/2011,1717
11/30/2011,1746
12/1/2011,1752
12/2/2011,1747
12/5/2011,1744
12/6/2011,1708
12/7/2011,1735.5
12/8/2011,1715
12/9/2011,1709
12/12/2011,1659.5
12/13/2011,1672.5
12/14/2011,1603
12/15/2011,1574
12/16/2011,1594
12/19/2011,1598
12/20/2011,1613.5
12/21/2011,1608
12/22/2011,1606.5
12/23/2011,1606.5
12/26/2011,1606.5
12/27/2011,1606.5
12/28/2011,1571
12/29/2011,1531
12/30/2011,1531
1/2/2012,1531
1/3/2012,1598
1/4/2012,1613
1/5/2012,1599
1/6/2012,1616.5
1/9/2012,1615
1/10/2012,1637
1/11/2012,1634.5
1/12/2012,1661
1/13/2012,1635.5
1/16/2012,1641
1/17/2012,1656
1/18/2012,1647
1/19/2012,1655
1/20/2012,1653
1/23/2012,1675.5
1/24/2012,1665.5
1/25/2012,1650
1/26/2012,1727
1/27/2012,1726
1/30/2012,1729
1/31/2012,1744
2/1/2012,1740
2/2/2012,1751
2/3/2012,1734
2/6/2012,1719
2/7/2012,1724
2/8/2012,1746
2/9/2012,1748
2/10/2012,1711.5
2/13/2012,1720
2/14/2012,1722
2/15/2012,1733
2/16/2012,1713
2/17/2012,1723
2/20/2012,1733
2/21/2012,1748
2/22/2012,1752
2/23/2012,1777
2/24/2012,1777.5
2/27/2012,1772
2/28/2012,1781
2/29/2012,1770
3/1/2012,1714
3/2/2012,1707
3/5/2012,1705
3/6/2012,1669
3/7/2012,1677.5
3/8/2012,1690
3/9/2012,1687.5
3/12/2012,1697.5
3/13/2012,1690
3/14/2012,1644.25
3/15/2012,1648
3/16/2012,1658
3/19/2012,1661.5
3/20/2012,1656.75
3/21/2012,1649.25
3/22/2012,1635.5
3/23/2012,1664
3/26/2012,1680.25
3/27/2012,1692
3/28/2012,1676
3/29/2012,1657.5
3/30/2012,1662.5
4/2/2012,1677.5
4/3/2012,1676.25
4/4/2012,1621
4/5/2012,1631
4/6/2012,1631
4/9/2012,1631
4/10/2012,1644
4/11/2012,1658
4/12/2012,1668.5
4/13/2012,1666.5
4/16/2012,1653
4/17/2012,1635.5
4/18/2012,1644
4/19/2012,1650
4/20/2012,1641.5
4/23/2012,1629
4/24/2012,1649.5
4/25/2012,1637.75
4/26/2012,1653.5
4/27/2012,1663.5
4/30/2012,1651.25
5/1/2012,1664
5/2/2012,1648
5/3/2012,1637.75
5/4/2012,1643.75
5/7/2012,1643.75
5/8/2012,1602.5
5/9/2012,1582.5
5/10/2012,1598.5
5/11/2012,1583
5/14/2012,1558.5
5/15/2012,1556.5
5/16/2012,1548.5
5/17/2012,1554
5/18/2012,1589.5
5/21/2012,1592.5
5/22/2012,1582.5
5/23/2012,1549
5/24/2012,1568.5
5/25/2012,1569.5
5/28/2012,1574.6
5/29/2012,1579.5
5/30/2012,1540
5/31/2012,1558
6/1/2012,1606
6/4/2012,1606
6/5/2012,1606
6/6/2012,1635
6/7/2012,1606
6/8/2012,1576.5
6/11/2012,1584
6/12/2012,1603.5
6/13/2012,1619.5
6/14/2012,1613.5
6/15/2012,1627.25
6/18/2012,1615.5
6/19/2012,1625.5
6/20/2012,1601
6/21/2012,1582
6/22/2012,1565.5
6/25/2012,1570
6/26/2012,1576
6/27/2012,1573.5
6/28/2012,1558.5
6/29/2012,1598.5
7/2/2012,1592
7/3/2012,1617.5
7/4/2012,1613.5
7/5/2012,1604
7/6/2012,1587
7/9/2012,1585
7/10/2012,1595.25
7/11/2012,1577
7/12/2012,1556.25
7/13/2012,1595.5
7/16/2012,1589.75
7/17/2012,1585.25
7/18/2012,1575.25
7/19/2012,1584
7/20/2012,1576.25
7/23/2012,1572.25
7/24/2012,1583.25
7/25/2012,1601
7/26/2012,1618
7/27/2012,1618.25
7/30/2012,1617.75
7/31/2012,1622
8/1/2012,1599
8/2/2012,1597
8/3/2012,1602
8/6/2012,1610
8/7/2012,1611
8/8/2012,1613.25
8/9/2012,1615
8/10/2012,1618.5
8/13/2012,1622.5
8/14/2012,1597.75
8/15/2012,1601.75
8/16/2012,1604.5
8/17/2012,1614.75
8/20/2012,1615
8/21/2012,1639.5
8/22/2012,1642
8/23/2012,1665.25
8/24/2012,1667
8/27/2012,1667
8/28/2012,1668
8/29/2012,1660
8/30/2012,1660.5
8/31/2012,1648.5
9/3/2012,1691.5
9/4/2012,1697
9/5/2012,1690
9/6/2012,1701
9/7/2012,1728
9/10/2012,1732
9/11/2012,1736.75
9/12/2012,1737
9/13/2012,1733.25
9/14/2012,1775.5
9/17/2012,1770
9/18/2012,1769.5
9/19/2012,1766.75
9/20/2012,1758.5
9/21/2012,1784.5
9/24/2012,1762.5
9/25/2012,1771.5
9/26/2012,1744.75
9/27/2012,1763
9/28/2012,1776
10/1/2012,1787
10/2/2012,1775.5
10/3/2012,1775.25
10/4/2012,1791.75
10/5/2012,1784
10/8/2012,1773.5
10/9/2012,1774
10/10/2012,1761.25
10/11/2012,1769
10/12/2012,1766.75
10/15/2012,1736
10/16/2012,1746.5
10/17/2012,1749
10/18/2012,1743
10/19/2012,1737
10/22/2012,1726.75
10/23/2012,1711
10/24/2012,1706.5
10/25/2012,1715.5
10/26/2012,1716
10/29/2012,1707
10/30/2012,1710
10/31/2012,1719
11/1/2012,1716.25
11/2/2012,1685
11/5/2012,1683.5
11/6/2012,1691
11/7/2012,1715.25
11/8/2012,1717
11/9/2012,1738.25
11/12/2012,1735.25
11/13/2012,1726.25
11/14/2012,1725.75
11/15/2012,1710
11/16/2012,1713.5
11/19/2012,1730.5
11/20/2012,1732.25
11/21/2012,1724
11/22/2012,1731
11/23/2012,1734.5
11/26/2012,1750.5
11/27/2012,1746.25
11/28/2012,1708
11/29/2012,1725
11/30/2012,1726
12/3/2012,1720
12/4/2012,1697.75
12/5/2012,1694
12/6/2012,1694.25
12/7/2012,1701.5
12/10/2012,1712.5
12/11/2012,1710
12/12/2012,1716.25
12/13/2012,1692.75
12/14/2012,1696.25
12/17/2012,1695.75
12/18/2012,1694
12/19/2012,1665
12/20/2012,1650.5
12/21/2012,1651.5
12/24/2012,1651.5
12/25/2012,1651.5
12/26/2012,1651.5
12/27/2012,1655.5
12/28/2012,1657.5
12/31/2012,1657.5
1/1/2013,1657.5
1/2/2013,1693.75
1/3/2013,1679.5
1/4/2013,1648
1/7/2013,1645.25
1/8/2013,1656
1/9/2013,1657.75
1/10/2013,1675
1/11/2013,1657.5
1/14/2013,1666.5
1/15/2013,1680.5
1/16/2013,1676.25
1/17/2013,1675
1/18/2013,1688.5
1/21/2013,1687.5
1/22/2013,1690.5
1/23/2013,1690.25
1/24/2013,1671
1/25/2013,1660
1/28/2013,1656.5
1/29/2013,1663.5
1/30/2013,1677.5
1/31/2013,1664.75
2/1/2013,1669
2/4/2013,1666
2/5/2013,1673.5
2/6/2013,1674.25
2/7/2013,1668
2/8/2013,1668.25
2/11/2013,1652
2/12/2013,1647.5
2/13/2013,1645
2/14/2013,1646
2/15/2013,1612.25
2/18/2013,1610.75
2/19/2013,1607.75
2/20/2013,1588.5
2/21/2013,1577
2/22/2013,1576.5
2/25/2013,1586.25
2/26/2013,1590.5
2/27/2013,1604.25
2/28/2013,1588.5
3/1/2013,1582.25
3/4/2013,1574.25
3/5/2013,1579.75
3/6/2013,1574
3/7/2013,1579.5
3/8/2013,1581.75
3/11/2013,1579
3/12/2013,1594
3/13/2013,1589.25
3/14/2013,1586
3/15/2013,1595.5
3/18/2013,1603.75
3/19/2013,1610.75
3/20/2013,1607.5
3/21/2013,1613.75
3/22/2013,1607.75
3/25/2013,1599.25
3/26/2013,1598
3/27/2013,1603
3/28/2013,1598.25
3/29/2013,1598.25
4/1/2013,1598.25
4/2/2013,1583.5
4/3/2013,1574.75
4/4/2013,1546.5
4/5/2013,1568
4/8/2013,1575
4/9/2013,1577.25
4/10/2013,1575
4/11/2013,1565
4/12/2013,1535.5
4/15/2013,1395
4/16/2013,1380
4/17/2013,1392
4/18/2013,1393.75
4/19/2013,1405.5
4/22/2013,1424.5
4/23/2013,1408
4/24/2013,1428.5
4/25/2013,1451
4/26/2013,1471.5
4/29/2013,1467.5
4/30/2013,1469
5/1/2013,1454.75
5/2/2013,1469.25
5/3/2013,1469.25
5/6/2013,1469.25
5/7/2013,1444.25
5/8/2013,1468
5/9/2013,1465.5
5/10/2013,1426.5
5/13/2013,1430.75
5/14/2013,1433.75
5/15/2013,1410
5/16/2013,1381
5/17/2013,1368.75
5/20/2013,1354.75
5/21/2013,1360.75
5/22/2013,1408.5
5/23/2013,1380.5
5/24/2013,1390.25
5/27/2013,1390.25
5/28/2013,1376.5
5/29/2013,1382.5
5/30/2013,1413.5
5/31/2013,1394.5
6/3/2013,1402.5
6/4/2013,1399.5
6/5/2013,1404
6/6/2013,1400
6/7/2013,1386
6/10/2013,1383.25
6/11/2013,1374.25
6/12/2013,1382.75
6/13/2013,1385
6/14/2013,1391.25
6/17/2013,1384.75
6/18/2013,1366.75
6/19/2013,1372.75
6/20/2013,1292.5
6/21/2013,1295.25
6/24/2013,1286.75
6/25/2013,1279
6/26/2013,1236.25
6/27/2013,1232.75
6/28/2013,1192
7/1/2013,1242.75
7/2/2013,1252.5
7/3/2013,1250
7/4/2013,1251.75
7/5/2013,1212.75
7/8/2013,1235.25
7/9/2013,1255.5
7/10/2013,1256
7/11/2013,1285
7/12/2013,1279.75
7/15/2013,1284.75
7/16/2013,1291.5
7/17/2013,1297.25
7/18/2013,1283.25
7/19/2013,1295.75
7/22/2013,1327
7/23/2013,1333.5
7/24/2013,1335
7/25/2013,1326
7/26/2013,1331
7/29/2013,1329.75
7/30/2013,1324.15
7/31/2013,1314.5
8/1/2013,1315
8/2/2013,1309.25
8/5/2013,1304.75
8/6/2013,1280.5
8/7/2013,1282.5
8/8/2013,1298.25
8/9/2013,1309
8/12/2013,1341
8/13/2013,1328.5
8/14/2013,1326.5
8/15/2013,1329.75
8/16/2013,1369.25
8/19/2013,1365
